round,category,value,prompt,response
double,Middle Earth Geography,1600,This haunted region of stagnant pools formed after the Battle of Dagorlad in the Second Age.,What are the Dead Marshes?
double,Middle Earth Geography,2000,This fortress and mountain pass on Mordor's western border housed Shelob and a tower garrison of orcs.,What is Cirith Ungol?
double,AD&D,400,"Before ascending to godhood, Vecna was most famous for losing these two body parts.",What are his hand and eye?
double,AD&D,800,"The default campaign world for official AD&D adventures, created by Gary Gygax.",What is Greyhawk?
double,AD&D,1200,A wizard was known by this hyphenated class.,What is a magic-user.
double,AD&D,1600,The acronym THAC0 stood for this phrase describing how attacks were resolved.,What is 'to hit armor class zero'.
double,AD&D,2000,"This saving throw category grouped wands, staves, and this third class of magic items.",What are rods?
double,Military Acronyms,400,AWOL,"What is ""absent without leave"""
double,Military Acronyms,800,SAM,"What is ""surface to air missile"""
double,Military Acronyms,1200,FNG,"What is ""fucking new guy"""
double,Military Acronyms,1600,SNAFU,"What is ""situation normal, all fucked up"""
double,Military Acronyms,2000,LRRP,"What is ""long range reconnaissance patrol"""
double,"Crossword Clues ""Y""",400,"This Ivy League university in New Haven, Connecticut, is home to the Bulldogs.",What is Yale?
double,"Crossword Clues ""Y""",800,This American national park sits atop a massive supervolcano.,What is Yellowstone?
double,"Crossword Clues ""Y""",1200,"In Norse mythology, this world tree connects the Nine Realms.",What is Yggdrasil?
double,"Crossword Clues ""Y""",1600,This Japanese admiral masterminded the attack on Pearl Harbor.,Who is Yamamoto?
double,"Crossword Clues ""Y""",2000,The alleged discovery of this uranium ore concentrate was cited as a pretense for the 2003 U.S. invasion of Iraq.,What is yellowcake?
final,The Afterlife,0,This realm of the afterlife in Greek mythology is reserved for the heroic and the virtuous,What are the Elysian Fields?
